update,environment_steps,episodes_completed,success_rate,evaluation_success_rate,evaluation_mean_minimum_distance,actor_loss,critic_loss,entropy,elapsed_seconds
33,33792,27,1.0,nan,nan,-0.007857060998503584,0.44371065264567733,3.439685460180044,6.509676000001491
34,34816,24,0.9583333333333334,nan,nan,-0.01107138887164183,0.5345543795265257,3.4422271475195885,6.680168833001517
35,35840,22,0.9545454545454546,1.0,0.01852715992428009,-0.005117790307849646,0.6025553168728948,3.4313304238021374,6.90735224999662
36,36864,26,1.0,nan,nan,-0.011069966829381883,0.47059582080692053,3.4215082861483097,7.0921008750010515
37,37888,30,1.0,nan,nan,-0.01342030381783843,0.333325931802392,3.405086889863014,7.263040457997704
38,38912,25,0.96,nan,nan,-0.013018336707318667,0.5234838323667645,3.384621527045965,7.433591875000275
39,39936,26,1.0,nan,nan,-0.019536159437848255,0.6098902355879545,3.3721326999366283,7.603994832999888
40,40960,20,1.0,1.0,0.023118907371548227,-0.012692220057942905,0.4348585680127144,3.365941520780325,7.934093874995597
41,41984,17,0.8823529411764706,nan,nan,-0.012473140988731757,0.7099191071465611,3.371639110147953,8.103730207993067
42,43008,17,0.8823529411764706,nan,nan,-0.012880811540526338,0.6610571243800223,3.3633035086095333,8.272458416991867
43,44032,11,0.5454545454545454,nan,nan,-0.01318013490526937,0.8053117217496037,3.341405976563692,8.44071833298949
44,45056,12,1.0,nan,nan,-0.015440403833054006,1.0110024260357022,3.328880276530981,8.609138082989375
45,46080,10,0.6,0.0,0.022421673813162894,-0.012311451238929294,0.6640346571803093,3.3198237381875515,9.02909883299435
46,47104,10,0.3,nan,nan,-0.013179791028960608,0.84315100684762,3.3165996819734573,9.196947249991354
47,48128,8,0.25,nan,nan,-0.011715603730408475,0.3879355168901384,3.316979881376028,9.36474887499935
48,49152,10,0.4,nan,nan,-0.00676792484591715,0.8347468916326761,3.3090478479862213,9.53341466699203
49,50176,8,0.125,nan,nan,-0.011420170194469392,1.6728564258664846,3.3162631951272488,9.70088241698977
50,51200,10,0.4,0.0,0.019848482172682445,-0.011097479829913937,1.050536054186523,3.3104344084858894,10.120984416993451
51,52224,9,0.1111111111111111,nan,nan,-0.015416014168295078,0.4995174740906805,3.3074479289352894,10.288728874991648
